Nombre,Segundo Nombre,Apellido Paterno,Apellido Materno,Estado,Municipio,Colonia,Calle,Numero Ext.,Numero Int.,Codigo Postal,CURP,Clave Elector,Fecha de Nacimiento,Seccion,Vigencia Ano Inicio,Vigencia Ano Final,Ano Registro,Mes Registro
DANIEL,,CEPEDA,DAVILA,TLAX,SAN ALTA  GRACIA LOS BAJOS,DE LA MONTANA SUR,CALLEJON SUR CARABALLO,7365,,93118,SNUP654187MSZJFVF0,BTXXQT43669656J3U7,26/03/1973,3621,2023,2033,2019,02
SANDRA,,OLIVERA,ZARATE,BCS,SAN GRACIELA DE LA MONTANA,LOS ALTOS SUR,CALLE LIBANO,S/N,,18428,FSUC607830HPKFEM66,VVCDPZ56255498Q0MM,16/10/1951,6702,2030,2040,2000,04
ARMANDO,,RASCON,NAJERA,ZAC,SAN SARA DE LA MONTANA,LOS ALTOS NORTE,PROLONGACION SUR BARRIOS,S/N,,96496,ZVEE673172HAWACCC6,OMSIGC987407793T4T,31/01/1978,3842,2026,2036,2005,04
FLAVIO,,PENA,TAFOYA,COL,SAN LOURDES LOS BAJOS,LOS ALTOS SUR,RETORNO SUR JASSO KM,67.5,,71946,LYYP223046MNIKPT16,CVOERO39768607YF03,31/08/1937,6850,2028,2038,2018,12
GERMAN,,ALONZO,CENTENO,Q.ROO,VIEJA CHILE,LOS ALTOS NORTE,RETORNO BUSTAMANTE KM,81.2,F,35837,ILNV938234HCRUXJ58,MOAMPK90008085XWD0,03/08/1990,7099,2030,2040,2002,09
OLIVER,,COLLAZO,GUZMAN,BC,SAN BARBARA LOS ALTOS,LOS BAJOS SUR,PERIFERICO PALOMINO MZ 88 LT,93,,77630,UEHH046423MHHNAAV4,BEXVAA158932822FRR,23/08/1959,5570,2023,2033,2014,09
CAMILA,,MADRIGAL,BORREGO,MEX,VIEJA GUATEMALA,LOS ALTOS SUR,CONTINUACION APARICIO KM,74.3,,17655,RDXA055852HKOJELL3,MMDDMJ33938282AJNB,13/08/2002,4337,2025,2035,2004,06
HUGO,,CONTRERAS,BAEZA,TAMPS,NUEVA BELGICA,LOS ALTOS NORTE,CALZADA NORTE COTTO MZ 8 LT,33,,74756,QXDK138003MDMMMY30,NGXTFM57894731FBPX,14/10/1978,6462,2027,2037,2020,05
VIRGINIA,,ANGULO,PERES,TAB,SAN BEATRIZ DE LA MONTANA,LOS BAJOS NORTE,PEATONAL VENEGAS,S/N,,31333,TLCM401076HFRRBQC9,SHQZLZ89486988Z9O9,15/12/1948,2193,2022,2032,2011,06
BERNARDO,,OCASIO,ALARCON,PUE,SAN LILIANA LOS BAJOS,DE LA MONTANA SUR,ANDADOR AGUASCALIENTES,6218,,73665,ZGAR354110HTYAUJP1,WJPEUP25276127SRWC,06/12/1966,3560,2026,2036,2023,02
CARIDAD,,ANAYA,GAMEZ,NAY,NUEVA LETONIA,DE LA MONTANA SUR,CALLEJON AGUIRRE,S/N,,30785,QEGC461238MVWNPGC0,ZYWNKC732663706R6W,24/08/1948,6270,2026,2036,2011,09
ARCELIA,,SUAREZ,ROLDAN,PUE,VIEJA MAURITANIA,LOS BAJOS NORTE,VIADUCTO MAURICIO,3413,,33625,YEPT344422HXNCZS71,AKCQZH47217309FXVY,17/12/1946,5562,2023,2033,2002,02
RENATO,,BELTRAN,VELA,TAMPS,SAN OLIVIA LOS BAJOS,DE LA MONTANA NORTE,CIRCUNVALACION NORTE ROMERO,S/N,,20644,KUDX680341MQGSBW46,EMHOXH63524300I006,12/01/1985,2977,2026,2036,2009,12
CAROLINA,,VARELA,MORA,BC,SAN ELENA LOS ALTOS,DE LA MONTANA NORTE,CERRADA SUR RAMIREZ,S/N,,62482,KWCM174279HPKOXS96,UPXSEH73236844FL31,04/11/1997,4033,2026,2036,2018,11
VICTORIA,,ENRIQUEZ,ROBLEDO,CAMP,NUEVA DOMINICANA,DE LA MONTANA NORTE,AMPLIACION NORTE CAMARILLO,S/N,,44244,JWBA641481MEVJQYT0,DDNAYI817517445C1E,25/08/1966,9548,2029,2039,2003,03
GABRIEL,,ESQUIVEL,DIAZ,SIN,SAN OSCAR LOS ALTOS,LOS ALTOS NORTE,PEATONAL TELLO MZ 68 LT,20,,60315,GPFL923013MYALWHX4,LBTFIN696175681ZZR,09/03/1947,7391,2024,2034,2004,04
ESPARTACO,,CARMONA,NORIEGA,OAX,VIEJA TONGA,LOS ALTOS NORTE,PERIFERICO BAJA CALIFORNIA,2197-38,DEPTO C,81673,XXAV517587HJAOHJ84,DGPVIN26859925SMSU,19/04/1993,9141,2025,2035,2005,09
RODRIGO,,ALCARAZ,MUNOZ,TAB,VIEJA TIMOR-LESTE,LOS ALTOS NORTE,CIRCUNVALACION AFGANISTAN KM,75.5,,20694,HEHU066275MWVTNOD3,INCTJU014308276C4J,31/08/2004,6038,2025,2035,2022,01
MICAELA,,GAMBOA,BENAVIDEZ,CDMX,SAN VIRGINIA DE LA MONTANA,LOS BAJOS SUR,PROLONGACION NORTE ALTAMIRANO KM,9.2,EDIFICIO 15 DEPTO 78,56884,JSSF236717MMZAWWF7,LZXOLD15988647O0I2,25/08/1999,4206,2030,2040,2003,08
IRENE,,OCHOA,CASARES,YUC,SAN JUAN CARLOS LOS BAJOS,LOS BAJOS SUR,BOULEVARD SORIA,5600,,25657,IQCY683033HGDZYXJ2,QZFXIA96095734MW6Y,23/12/1952,2572,2030,2040,2000,07
CRISTAL,,DE JESUS,ALTAMIRANO,MOR,SAN LORENA DE LA MONTANA,DE LA MONTANA NORTE,AVENIDA REPUBLICA CENTROAFRICANA MZ 66 LT,62,,31708,IJJA669757MJDQTX16,BDDWUW06509486L7VH,25/06/1970,1014,2028,2038,2020,12
URIEL,,JAIME,CAMACHO,SLP,SAN EDUARDO LOS ALTOS,LOS ALTOS SUR,RETORNO CARREON,3379-43,,92738,AUQH697469HGXRMMF1,DIQNXN48968659N4MI,25/09/1939,8683,2020,2030,2009,01
ANA,MARIA,SOLORZANO,CALDERON,CDMX,SAN LILIANA LOS ALTOS,DE LA MONTANA SUR,BOULEVARD CAMPECHE,4488,,84804,HXRK736318HJNRLXJ9,WWVUUZ7594861883HV,05/12/2000,7011,2022,2032,2006,01
TOMAS,,MELENDEZ,DEL VALLE,VER,NUEVA BELGICA,LOS BAJOS SUR,PROLONGACION AZERBAIYAN MZ 98 LT,77,,35726,KLQV353874HACHUZW9,OGEYJP65272544P8IX,03/10/1968,5898,2025,2035,2000,12
GABINO,,CANALES,YBARRA,BC,SAN MAGDALENA LOS ALTOS,LOS BAJOS SUR,CONTINUACION QUINTANA ROO,2439A,DEPTO H,61963,NKJC868267MKSSICD4,WNFLPE021416701ETK,14/07/1940,1882,2020,2030,2004,09
SOFIA,,GALVEZ,OROSCO,MOR,SAN ELSA LOS BAJOS,DE LA MONTANA NORTE,DIAGONAL AGUASCALIENTES,729F,,80270,QFPW589866MPXWEZS5,UJBFPZ244189632DRT,28/11/1991,4494,2027,2037,2019,09
JOS,,PAZ,SERRANO,NL,NUEVA ISRAEL,LOS BAJOS SUR,AVENIDA GUANAJUATO KM,2.1,,28065,WTAJ509772MNRCXEO0,QTQMPA852159766XPG,21/07/1994,8149,2025,2035,2017,09
ZACARIAS,,BENITEZ,SALDANA,OAX,NUEVA SUIZA,LOS ALTOS NORTE,CALLE BAJA CALIFORNIA SUR,S/N,,73848,XVPC532018MTHJYDG0,YNEJEW045856126TOT,30/12/1953,1133,2028,2038,2020,07
JORGE,,VILLAGOMEZ,YANEZ,GRO,SAN JORGE LUIS LOS ALTOS,LOS ALTOS NORTE,RETORNO RINCON,6910-39,PISO 1,52963,SECC333333HCXFBOR1,HABGTD742968726PD3,24/08/2004,0732,2023,2033,2010,09
AURORA,,MUNGUIA,FERRER,CHIS,SAN WENDOLIN DE LA MONTANA,DE LA MONTANA NORTE,VIADUCTO NORTE MARROQUIN,3996,,54482,OHDJ153842MSSXQRZ1,OJEDRL362260022I6D,20/11/2002,9971,2020,2030,2022,11
MAXIMILIANO,,MATEO,AVILES,AGS,NUEVA AFGANISTAN,LOS BAJOS SUR,PEATONAL RODRIGEZ,3788,I,82879,KIKL610928HSWVTTZ0,PFNLDF943132758LPS,27/09/1992,8238,2026,2036,2010,02
ARIADNA,,MONTEMAYOR,AGUAYO,TAMPS,VIEJA DOMINICANA,LOS ALTOS NORTE,DIAGONAL SUR NAVA KM,29.1,,71286,SPAC401228MVTBWW27,SKMHKS32911302DOJC,20/09/1989,5653,2027,2037,2012,07
VIOLETA,,NEVAREZ,BENAVIDES,CDMX,SAN LINDA DE LA MONTANA,LOS BAJOS NORTE,PASAJE ARTEAGA,7882,,64952,IJIM458884HZXPJMY2,UAWTQZ721776765TVY,19/01/1947,5343,2022,2032,2017,05
VIOLETA,,ARENAS,ACEVEDO,NAY,VIEJA EGIPTO,LOS ALTOS NORTE,VIADUCTO RIVERA,2923-33,,70104,JSRO420996MUKVJVY6,LFCIKE25198552IIC9,25/09/1997,6230,2029,2039,2021,01
LEONEL,,SUAREZ,MONTEZ,TAMPS,SAN ZOE DE LA MONTANA,LOS ALTOS SUR,RETORNO QUINTANA,S/N,,23510,PTKY756368HGRGCG87,ZAUCHA41415499MQK8,20/08/1955,1553,2025,2035,2019,01
GUSTAVO,,CEPEDA,MONDRAGON,TAMPS,SAN LUCIA LOS ALTOS,LOS BAJOS NORTE,PROLONGACION TIMOR-LESTE MZ 7 LT,26,,69797,ELAR169531MCTRXBD4,KZSIUL056507754SQN,16/08/2003,3804,2020,2030,2015,03
PAULINA,,VILLASENOR,RANGEL,NL,SAN ESTEFANIA LOS ALTOS,LOS BAJOS SUR,CERRADA JALISCO,4664H,INT 436,65447,MSRQ653244HYIOWOO1,CHNDEH70236979PE8D,12/07/1940,8055,2026,2036,2013,06
FERNANDO,,CARMONA,TOLEDO,CHIH,SAN ROCIO LOS BAJOS,LOS ALTOS NORTE,BOULEVARD TAMAULIPAS,S/N,,43153,BANQ321137HZGVNBJ2,TAIFNP11250552D4NL,12/06/1994,2418,2030,2040,2006,12
BRUNO,,ARMENTA,GUERRERO,OAX,SAN ALEJANDRA LOS BAJOS,LOS BAJOS SUR,CORREDOR GAITAN,4343,,74975,VZID729631HWVGPRP8,BVQYXU9134690457VQ,30/05/1981,7555,2024,2034,2002,02
ROCIO,,MAESTAS,VELEZ,TAB,SAN RENATO DE LA MONTANA,DE LA MONTANA SUR,PEATONAL ARMENTA,S/N,,46799,EYWV570297HRCTFCV1,RIRNLQ290855463IER,30/07/1988,8986,2022,2032,2010,04
INDIRA,,AVILES,TORO,DGO,SAN DANIEL LOS ALTOS,LOS ALTOS SUR,CIRCUNVALACION LOPEZ MZ 41 LT,18,,36403,MPDK968887MFHAKFT4,VVOPCN035550811WK3,30/09/1971,2220,2030,2040,2020,08
ANA,MARIA,GUEVARA,NAZARIO,GRO,NUEVA IRLANDA,DE LA MONTANA SUR,EJE VIAL REPUBLICA DE MOLDOVA,2172B,INT 361,70782,YNIN597846MJJOCO55,HDJQBP97928140N4XN,21/01/1985,2472,2025,2035,2018,07
ROCIO,,GALLARDO,MAYORGA,CAMP,NUEVA SUIZA,DE LA MONTANA NORTE,DIAGONAL DINAMARCA,4601-79,,89718,HAEW551692HQONQQE1,LKZTZH22905109Z4Q5,10/12/1954,7191,2027,2037,2020,05
ELOISA,,HUERTA,MURO,TLAX,NUEVA SINGAPUR,LOS ALTOS SUR,CIRCUITO SUR CARRANZA,448C,INT 261,73580,YZDJ023058MKUHXTL9,UYCGTA61163131OQJQ,18/07/2004,6971,2027,2037,2016,08
ADELA,,OCASIO,PAZ,CHIS,SAN ISABEL LOS BAJOS,LOS BAJOS SUR,DIAGONAL DURANGO,2187B,,73922,KARP899519MTTNMT39,HVHGGR86916169WH97,25/11/1936,5658,2030,2040,2006,07
DELIA,,CASTRO,LOMELI,Q.ROO,NUEVA NUEVA ZELANDIA,LOS ALTOS NORTE,DIAGONAL YUCATAN KM,26.7,INT 441,90581,KKVH549564MMHVZL58,PFTPAW18169875GZ18,31/08/1943,3163,2030,2040,2010,03
CARLA,,CAMACHO,BERMUDEZ,ZAC,VIEJA ZAMBIA,DE LA MONTANA NORTE,CALLE GUINEA,S/N,INT 238,83880,YXGE315290MRGPGWQ3,IBTVUK96928582IRAH,08/08/1998,7230,2025,2035,2016,02
LEONOR,,VEGA,AREVALO,TAMPS,SAN JOSE DE LA MONTANA,DE LA MONTANA SUR,CORREDOR SIERRA LEONA MZ 67 LT,69,INT 807,54894,QKFM007562HLJUPP63,QPNMDY36498921LZQX,14/11/1964,0155,2025,2035,2015,04
GLORIA,,ZELAYA,CUELLAR,TAMPS,NUEVA ARABIA SAUDITA,LOS ALTOS NORTE,EJE VIAL NORTE COTTO MZ 17 LT,79,E,59183,PXSG127797HWLFUA82,EXQMOX56704252GXGQ,26/04/1975,5942,2024,2034,2023,12
IRMA,,VALENCIA,LUEVANO,GTO,SAN FELIPE DE LA MONTANA,LOS ALTOS SUR,AVENIDA MONTES MZ 97 LT,6,,26366,ICLF221713MAMZTJY5,BIHJJB89667796L5FX,02/05/1945,8781,2026,2036,2016,11
CONCHITA,,ENRIQUEZ,SERRATO,SLP,SAN LETICIA LOS ALTOS,LOS BAJOS SUR,PASAJE CANADA,6686F,INT 218,66613,ISDN379202HHSIXRY5,XJRRRR34039818FISH,19/07/1987,7091,2029,2039,2020,09
BRUNO,,FIERRO,ESCOBAR,TLAX,SAN YOLANDA LOS BAJOS,DE LA MONTANA NORTE,PROLONGACION LUXEMBURGO,S/N,,25781,OAVK580362MHVQMJ27,RODEPR05735036G6FC,17/01/2003,2331,2020,2030,2008,06
ZOE,,SALAS,ESQUIVEL,PUE,SAN GRACIELA LOS ALTOS,LOS ALTOS NORTE,PEATONAL ESTONIA,S/N,,85522,MPEU715960MNRZHFS5,YISNAY77283334FLDH,07/12/1976,5670,2022,2032,2006,10
FIDEL,,MONTEMAYOR,PRIETO,TAB,NUEVA HUNGRIA,LOS ALTOS NORTE,ANDADOR SUR HOLGUIN,2056A,,62887,HITI603010HUYBTL08,QCJYWE72857193F2GK,13/10/1980,1471,2022,2032,2002,08
GUSTAVO,,PEDROZA,URBINA,OAX,SAN SARA LOS BAJOS,LOS BAJOS NORTE,PEATONAL SAN LUIS POTOSI MZ 55 LT,70,I,25174,MCHD577152MHOSAA23,IGFOMU35892030RMTU,02/08/1942,1503,2021,2031,2010,11
ALDONZA,,GUZMAN,LUCERO,NAY,SAN MARIA LUISA LOS ALTOS,LOS ALTOS SUR,CIRCUNVALACION MICHOACAN DE OCAMPO,5156-40,EDIFICIO 14 DEPTO 56,87771,NORA369985MQJDJZ77,JRBQTB82103844B6C2,03/07/1955,5669,2026,2036,2016,05
MARCO,ANTONIO,NAJERA,URIAS,CHIH,NUEVA RWANDA,LOS BAJOS NORTE,AVENIDA MEXICO,4811-28,,42172,PFMG564884HCRSVEE0,PQRRTF97271474218L,19/06/1973,3232,2029,2039,2002,11
IRENE,,TREJO,SOLIS,SON,SAN SESSA LOS BAJOS,DE LA MONTANA SUR,VIADUCTO SUR OLIVO,8150-73,,67628,QIED544219HPQEEFE6,FILYUX62316174ZE6V,28/07/1978,6036,2027,2037,2003,12
JORGE,LUIS,TEJEDA,BRISENO,PUE,SAN RAUL LOS BAJOS,LOS ALTOS SUR,PEATONAL NORTE VERDUZCO MZ 70 LT,43,,71119,IILM985938MJMVLRT7,JXYRUD37324605J6ZH,09/09/1999,9943,2026,2036,2006,03
MODESTO,,CANALES,CARABALLO,AGS,NUEVA ARMENIA,DE LA MONTANA NORTE,RETORNO ESPINAL MZ 38 LT,50,,46098,UAUT332131HOIOZN83,GZVVIO310395011RJN,04/04/1985,7017,2026,2036,2021,12
DALIA,,VILLEGAS,OLIVO,GRO,SAN OFELIA LOS BAJOS,DE LA MONTANA SUR,CALLE CÔTE D'IVOIRE,2083-63,,10126,DVPK593193HQUTUDR4,IPFZKM44080589GJ7T,02/02/1984,8348,2020,2030,2015,03
ESPERANZA,,VALDES,CAMARILLO,VER,NUEVA ITALIA,LOS BAJOS NORTE,RETORNO ARABIA SAUDITA KM,73.2,,89916,QLOX045756MFCITPK5,NTDRDG01868159S1K2,31/03/1947,8627,2022,2032,2003,07
AIDA,,BALDERAS,LUCERO,BCS,NUEVA SAN VICENTE Y LAS GRANADINAS,LOS BAJOS NORTE,CALLEJON GUINEA BISSAU,S/N,,97595,ITMU989012HBOBCV59,AKRWQI223122184PQL,18/10/1953,0085,2022,2032,2023,03
JAIME,,CASTILLO,ALVAREZ,Q.ROO,NUEVA VIETMAN,LOS BAJOS NORTE,ANDADOR ERITREA,1123B,PISO 2,75737,LWLY346368HDURATB1,BURJID24909046FCXP,28/03/1982,6513,2021,2031,2009,07
CAMILA,,SARABIA,BANUELOS,AGS,NUEVA BRASIL,LOS BAJOS NORTE,RETORNO SUR VILLAREAL KM,75.3,PISO 8,11968,TXOB633397HAWZMXR7,YHYUMX67731668I4FK,06/07/1960,1371,2026,2036,2016,08
MANUEL,,ESQUIBEL,VELIZ,NL,SAN HORACIO LOS BAJOS,DE LA MONTANA NORTE,CALLEJON NORTE VERA,6535,,79490,OAAP893408HIWXGXY4,BQESTD89667964M4RA,05/02/1966,1921,2027,2037,2002,11
JOSE,EMILIO,VIERA,CEDILLO,SON,VIEJA AFGANISTAN,LOS BAJOS SUR,CONTINUACION SUR BARRAGAN,9420-24,,63558,PZVC680591MNPDDBU0,NVHOTB53884700I30V,19/02/1942,7723,2022,2032,2007,01
ISABEL,,SERRANO,RENDON,TAB,NUEVA FILIPINAS,DE LA MONTANA SUR,AMPLIACION NORTE CONTRERAS MZ 20 LT,93,,66692,HUEE080373MGUZWZL7,CDJWIT576554572TIA,28/09/1987,4765,2020,2030,2004,09
RAQUEL,,HERNANDEZ,MATA,VER,SAN HELENA LOS BAJOS,DE LA MONTANA SUR,CONTINUACION NORTE VARELA,1382-31,,13338,NZIP031361HYPOGEZ3,YHURRQ94690553ZF4D,08/07/1947,8642,2023,2033,2017,12
CECILIA,,ALCANTAR,VAZQUEZ,HGO,SAN ZOE DE LA MONTANA,DE LA MONTANA SUR,CONTINUACION ZACATECAS,S/N,,57159,JDHD941249HCPJSQ02,QDWFRR58114279FEMO,12/05/1946,9655,2020,2030,2000,03
ANA,LUISA,HEREDIA,ALEMAN,SON,NUEVA LUXEMBURGO,DE LA MONTANA SUR,CIRCUNVALACION NORTE LUCERO KM,64.6,EDIFICIO 19 DEPTO 93,31000,IHKN683427HFJQRKH3,IQFFSX58098113O5VV,07/01/1972,3709,2022,2032,2011,03
OSWALDO,,ROBLEDO,PEREA,HGO,VIEJA ANGOLA,DE LA MONTANA SUR,CONTINUACION SUR ROCHA KM,87.2,INT 323,72606,RFZS760462MYABVTE7,ZFSFRJ31256932647G,26/09/1977,2077,2022,2032,2001,07
CLARA,,PERALTA,CORREA,SON,VIEJA SOMALIA,LOS ALTOS SUR,VIADUCTO CHAVEZ,2951-89,,59308,RTKO584135HOKKLIE5,HNEDPL13918791EB7Y,23/03/2006,0037,2028,2038,2014,02
ALDONZA,,SANCHEZ,CARRASCO,BCS,SAN EUGENIA DE LA MONTANA,LOS ALTOS NORTE,CERRADA NORTE NORIEGA,4713H,,24984,VCJF211663MQLWOKM0,QUGKAK12790163T5AW,16/11/1953,3206,2030,2040,2016,11
FELIPE,,BRAVO,TEJADA,BCS,SAN LILIANA LOS BAJOS,LOS ALTOS NORTE,DIAGONAL SUIZA,S/N,,79334,YSDA499234HXMZYO80,THOKYI05401288I1EX,07/03/2007,8163,2020,2030,2008,02
RAMIRO,,MANZANARES,ROSAS,AGS,SAN DALIA LOS BAJOS,DE LA MONTANA SUR,CALLE NORTE ONTIVEROS,S/N,DEPTO 292,15578,AQXX958039MHSWKB03,UPUPQT65062206GCMA,30/06/1944,6491,2022,2032,2022,02
MARTHA,,ROQUE,ROQUE,TAB,VIEJA DINAMARCA,LOS BAJOS SUR,CIRCUITO BORREGO,2330-36,,14940,TEJK000620HENTYSP9,RCGPDK29616819384G,11/10/1936,5205,2023,2033,2019,07
HORACIO,,ARROYO,ZAMORA,GTO,SAN INDIRA DE LA MONTANA,DE LA MONTANA SUR,RETORNO MIRAMONTES,S/N,,36667,VDKL949713HQLMRLU8,YEOWCU77477923X7OO,25/06/1991,6218,2023,2033,2001,02
CARIDAD,,LOERA,ZELAYA,BCS,VIEJA REPUBLICA DE MACEDONIA DEL NORTE,LOS BAJOS SUR,EJE VIAL VAZQUEZ KM,44.5,,92683,BMEJ095370HRHPGN10,XWOFBX04850074DT7N,20/11/1998,5338,2020,2030,2007,02
DELIA,,ARREOLA,JUAREZ,TAMPS,SAN ROSA DE LA MONTANA,LOS BAJOS SUR,ANDADOR TORREZ KM,63.2,,78030,JLJI702412MRBKMV64,JPDOYF07239621CQ0D,17/05/1956,9102,2026,2036,2017,12
JOSE,EMILIO,HOLGUIN,OLIVAREZ,CHIS,SAN ALDO LOS ALTOS,DE LA MONTANA SUR,PRIVADA SEGOVIA MZ 11 LT,71,PISO 11,76617,HVFW804909MDONZJS1,CPJDIG59435088JPO1,08/12/1978,9522,2021,2031,2011,08
SOCORRO,,CARRION,CONTRERAS,Q.ROO,VIEJA SUDAN,DE LA MONTANA NORTE,CIRCUNVALACION BAJA CALIFORNIA SUR,S/N,,20202,QCPT322950MXTGZYJ8,FOPRUR46327291GITS,14/05/2006,3899,2024,2034,2022,01
JOSE,EDUARDO,ARRIAGA,ZAVALA,NAY,NUEVA PAISES BAJOS,DE LA MONTANA NORTE,PEATONAL CHIPRE,9050H,,70933,NEVT105744HFFTRB41,NVVGHA59387415AIEG,05/05/1966,8618,2030,2040,2003,10
SALMA,,ARENAS,URIAS,PUE,NUEVA RWANDA,LOS ALTOS NORTE,CIRCUNVALACION CAMBOYA,7250D,DEPTO H,21234,CFNF041988HRBNEIG6,UEVBGV23665716RR1M,13/03/1977,6131,2022,2032,2018,09
FRANCISCA,,VALVERDE,BORREGO,OAX,VIEJA JORDANIA,LOS ALTOS NORTE,AVENIDA SUR TIJERINA,8742-68,F,50159,YLFL583656HSJTFCT1,XKLSUK69947590W2RP,22/02/1969,2899,2023,2033,2005,07
JOSEFINA,,URENA,CORREA,MEX,SAN OCTAVIO DE LA MONTANA,LOS BAJOS NORTE,EJE VIAL ROBLEDO,5117A,,22815,OULR531055HPPTIFK3,BZQFQO62461418QOBT,25/11/1986,3267,2029,2039,2019,06
MICAELA,,BENITEZ,GIRON,TLAX,VIEJA ISLANDIA,LOS BAJOS SUR,CONTINUACION TORO,8139,INT 887,40477,KETE896132HYKJPRB3,KHDCHP64303142QBNC,16/10/2002,8419,2024,2034,2009,07
MAYTE,,OTERO,GUTIERREZ,BC,NUEVA BENIN,DE LA MONTANA SUR,RETORNO SUR SANTANA,S/N,EDIFICIO 5 DEPTO 58,29677,PPIX658175MWUZAKT8,FHSBFU68876110P7AI,27/11/1950,4486,2028,2038,2021,06
MERCEDES,,SOSA,RAEL,NL,SAN ARTURO DE LA MONTANA,LOS BAJOS SUR,CIRCUITO OAXACA,695G,DEPTO 109,73036,MHJH609292HAAPFA51,TSGSBD233394732LNH,06/09/1934,7545,2030,2040,2010,10
MARISOL,,OZUNA,NAVA,BCS,SAN FRANCISCA LOS BAJOS,LOS BAJOS NORTE,PERIFERICO JAMAICA,9249,,78192,DUZJ112020HNSPPFR9,WQBKSH31948129W816,24/06/1992,0305,2020,2030,2016,05
HECTOR,,ESQUIBEL,RAYA,COL,SAN ISRAEL LOS ALTOS,DE LA MONTANA NORTE,PEATONAL PAPUA NUEVA GUINEA,8342,,74759,NONX687804HAFEUJ94,PJOIHL85627267IA53,15/05/1972,5516,2028,2038,2005,07
PAOLA,,BACA,ALVARADO,SLP,NUEVA SRI LANKA,DE LA MONTANA SUR,PRIVADA TLAXCALA,S/N,INT 454,89609,FWXE455061MNYGRKQ8,FXAQKV49642214JZB7,10/11/1959,4838,2022,2032,2006,07
ESPERANZA,,AVILA,MENENDEZ,OAX,NUEVA PANAMA,LOS ALTOS NORTE,AMPLIACION SOLIZ,820-57,PISO 13,87322,TEBW322913MBVFOR62,OZLLKD811931181LVP,25/01/1963,2242,2025,2035,2017,04
MARCO,ANTONIO,COVARRUBIAS,SAENZ,COA,SAN SALVADOR DE LA MONTANA,LOS ALTOS NORTE,CALLEJON MAURITANIA KM,82.7,PISO 4,59094,QYOW232420MHUXTFI4,KISDFO02864568CCDB,09/04/1942,1112,2029,2039,2004,06
SALVADOR,,ROLON,PRECIADO,ZAC,NUEVA IRAQ,LOS ALTOS SUR,CALLE MURILLO MZ 34 LT,49,,41739,UBOF677645HWHCSZK2,TWBSAN092828557A4F,13/02/1942,8790,2029,2039,2009,09
ELSA,,REYNA,HEREDIA,TLAX,NUEVA REPUBLICA DOMINICANA,LOS BAJOS NORTE,AMPLIACION AGUASCALIENTES,S/N,,56599,GEYD490110HCDNHJ20,NQAIUN47498205D72G,30/01/1973,4624,2023,2033,2005,01
MINERVA,,CURIEL,ARIAS,TAMPS,VIEJA SUDAN,DE LA MONTANA SUR,RETORNO NIGER,6286-57,,47680,ZSBJ624753MFMFPEE2,JEEJCH279660599B1F,10/08/1991,8724,2026,2036,2023,12
JUAN,,CORRAL,GUERRA,SON,SAN JORGE LUIS LOS BAJOS,LOS ALTOS SUR,PEATONAL RAMIREZ KM,3.4,,81325,BFBK412321HJMDKD12,XUHXWN64043018PJUA,04/08/2003,9027,2024,2034,2012,09
ALVARO,,GALVAN,ARCHULETA,SIN,NUEVA MICRONESIA,LOS ALTOS NORTE,VIADUCTO OTERO,1102-27,,86883,ITWM481503HUDJVPB3,LTYETE40633917J421,10/01/1943,3281,2023,2033,2016,02
GONZALO,,SALINAS,ESPINOSA,GRO,VIEJA SIERRA LEONA,DE LA MONTANA NORTE,AMPLIACION YUCATAN MZ 71 LT,38,,91483,XRMD482281MUNBVR81,YMNICT36624107Q64Q,21/01/2003,2154,2030,2040,2019,07
NATALIA,,TREJO,GODINEZ,TLAX,NUEVA SRI LANKA,LOS BAJOS SUR,BOULEVARD LABOY KM,72.9,,87269,NDSZ731714MQCJKOY6,QFLADL81175528618B,04/06/1968,0394,2025,2035,2010,09
PASCUAL,,ARMENTA,GAMEZ,JAL,SAN NELLY LOS BAJOS,DE LA MONTANA NORTE,VIADUCTO SUAREZ MZ 30 LT,89,J,54873,GASE456824MJXFUTV9,VEHNNL66671986AED2,09/08/1975,2054,2024,2034,2016,02
SANTIAGO,,BENAVIDES,ORELLANA,TAB,VIEJA REPUBLICA ARABE SIRIA,DE LA MONTANA NORTE,AVENIDA SUR MATOS,3260A,,94114,NNNT735620HUVKJXY1,WFXSKD089299699E4G,23/02/1953,3686,2025,2035,2019,08
TOMAS,,AMADOR,URIBE,PUE,NUEVA REPUBLICA DEMOCRATICA DEL CONGO,LOS BAJOS SUR,BOULEVARD NORTE VALLEJO,587,EDIFICIO 10 DEPTO 54,92281,HRZH993002MGEXHC24,HCNOVT104506694K2Y,19/12/1978,7575,2029,2039,2004,03
NATIVIDAD,,MANZANARES,VILLANUEVA,AGS,VIEJA PALAU,LOS BAJOS NORTE,PASAJE COLIMA MZ 42 LT,79,,13393,MIHD776971HNHVDJ73,CGSQYW22879886740R,21/10/1948,1663,2023,2033,2020,02
MARISELA,,TERRAZAS,RAZO,SIN,NUEVA TRINIDAD Y TABAGO,LOS BAJOS SUR,ANDADOR CAMPECHE,1663-45,,37028,RVCP012463HOPFHJ15,UXARXE064850159LI7,15/12/1941,6838,2024,2034,2011,10
OSCAR,,NORIEGA,ALARCON,CHIH,SAN WILFRIDO LOS BAJOS,LOS ALTOS SUR,CALLE GARICA,S/N,,30943,LCFV647196MMMZAH18,IHQTBD96448811LDXO,16/08/1973,8762,2030,2040,2008,08
